"ELECTION","TYPE","COUNTY","FIPS","SRPREC_KEY","SRPREC","CITY","N_IN_CITY","N"
"p16","srprec",1,"06001","06001200100","200100","BERKELEY",715,715
"p16","srprec",1,"06001","06001200200","200200","BERKELEY",696,696
"p16","srprec",1,"06001","06001200300","200300","BERKELEY",544,544
"p16","srprec",1,"06001","06001200600","200600","BERKELEY",636,636
"p16","srprec",1,"06001","06001200700","200700","BERKELEY",643,643
"p16","srprec",1,"06001","06001200800","200800","BERKELEY",609,609
"p16","srprec",1,"06001","06001201000","201000","BERKELEY",585,585
"p16","srprec",1,"06001","06001201100","201100","BERKELEY",641,641
"p16","srprec",1,"06001","06001201300","201300","BERKELEY",626,626
"p16","srprec",1,"06001","06001201400","201400","BERKELEY",649,649
"p16","srprec",1,"06001","06001201410","201410","BERKELEY",555,555
"p16","srprec",1,"06001","06001201500","201500","BERKELEY",594,594
"p16","srprec",1,"06001","06001201700","201700","BERKELEY",659,659
"p16","srprec",1,"06001","06001201710","201710","BERKELEY",961,961
"p16","srprec",1,"06001","06001201800","201800","BERKELEY",758,758
"p16","srprec",1,"06001","06001201900","201900","BERKELEY",604,604
"p16","srprec",1,"06001","06001202110","202110","BERKELEY",1040,1040
"p16","srprec",1,"06001","06001202310","202310","BERKELEY",833,834
"p16","srprec",1,"06001","06001202500","202500","BERKELEY",706,706
"p16","srprec",1,"06001","06001202520","202520","BERKELEY",819,819
"p16","srprec",1,"06001","06001202540","202540","BERKELEY",980,980
"p16","srprec",1,"06001","06001202600","202600","BERKELEY",713,713
"p16","srprec",1,"06001","06001202620","202620","BERKELEY",616,616
"p16","srprec",1,"06001","06001202710","202710","BERKELEY",728,728
"p16","srprec",1,"06001","06001202900","202900","BERKELEY",604,604
"p16","srprec",1,"06001","06001203100","203100","BERKELEY",682,682
"p16","srprec",1,"06001","06001203200","203200","BERKELEY",511,548
"p16","srprec",1,"06001","06001203300","203300","BERKELEY",580,598
"p16","srprec",1,"06001","06001203400","203400","BERKELEY",631,631
"p16","srprec",1,"06001","06001203500","203500","BERKELEY",1114,1114
"p16","srprec",1,"06001","06001203800","203800","BERKELEY",842,842
"p16","srprec",1,"06001","06001204100","204100","BERKELEY",861,861
"p16","srprec",1,"06001","06001204210","204210","BERKELEY",814,814
"p16","srprec",1,"06001","06001204220","204220","BERKELEY",640,640
"p16","srprec",1,"06001","06001204230","204230","BERKELEY",570,570
"p16","srprec",1,"06001","06001204240","204240","BERKELEY",567,567
"p16","srprec",1,"06001","06001204300","204300","BERKELEY",953,953
"p16","srprec",1,"06001","06001204310","204310","BERKELEY",760,760
"p16","srprec",1,"06001","06001204510","204510","BERKELEY",676,676
"p16","srprec",1,"06001","06001204600","204600","BERKELEY",680,680
"p16","srprec",1,"06001","06001204900","204900","BERKELEY",608,608
"p16","srprec",1,"06001","06001204910","204910","BERKELEY",731,731
"p16","srprec",1,"06001","06001205000","205000","BERKELEY",648,648
"p16","srprec",1,"06001","06001205100","205100","BERKELEY",732,732
"p16","srprec",1,"06001","06001205200","205200","BERKELEY",802,802
"p16","srprec",1,"06001","06001205500","205500","BERKELEY",737,737
"p16","srprec",1,"06001","06001205600","205600","BERKELEY",1119,1119
"p16","srprec",1,"06001","06001205700","205700","BERKELEY",808,808
"p16","srprec",1,"06001","06001205800","205800","BERKELEY",642,642
"p16","srprec",1,"06001","06001205900","205900","BERKELEY",716,716
"p16","srprec",1,"06001","06001206000","206000","BERKELEY",573,573
"p16","srprec",1,"06001","06001206100","206100","BERKELEY",729,729
"p16","srprec",1,"06001","06001206200","206200","BERKELEY",637,637
"p16","srprec",1,"06001","06001206300","206300","BERKELEY",695,695
"p16","srprec",1,"06001","06001206400","206400","BERKELEY",664,664
"p16","srprec",1,"06001","06001206600","206600","BERKELEY",817,817
"p16","srprec",1,"06001","06001207000","207000","BERKELEY",783,783
"p16","srprec",1,"06001","06001207010","207010","BERKELEY",746,746
"p16","srprec",1,"06001","06001207200","207200","BERKELEY",904,904
"p16","srprec",1,"06001","06001207300","207300","BERKELEY",585,585
"p16","srprec",1,"06001","06001207500","207500","BERKELEY",853,853
"p16","srprec",1,"06001","06001207600","207600","BERKELEY",802,802
"p16","srprec",1,"06001","06001207700","207700","BERKELEY",1161,1161
"p16","srprec",1,"06001","06001208000","208000","BERKELEY",588,588
"p16","srprec",1,"06001","06001208010","208010","BERKELEY",1083,1083
"p16","srprec",1,"06001","06001208100","208100","BERKELEY",612,612
"p16","srprec",1,"06001","06001208110","208110","BERKELEY",601,601
"p16","srprec",1,"06001","06001208200","208200","BERKELEY",641,641
"p16","srprec",1,"06001","06001208210","208210","BERKELEY",757,757
"p16","srprec",1,"06001","06001208300","208300","BERKELEY",931,931
"p16","srprec",1,"06001","06001208310","208310","BERKELEY",790,790
"p16","srprec",1,"06001","06001208400","208400","BERKELEY",836,836
"p16","srprec",1,"06001","06001208500","208500","BERKELEY",745,745
